HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeElo,AwayElo,IsCorrect
France,Portugal,07/10/16,EUC-K,0,1,1,1999,1899,0
France,Germany,07/07/16,EUC-K,2,0,1,1966,2026,1
Portugal,Wales,07/06/16,EUC-K,2,0,0,1870,1786,1
France,Iceland,07/03/16,EUC-K,5,2,1,1954,1733,1
Germany,Italy,07/02/16,EUC-K,1,1,0,2034,1921,0
Wales,Belgium,07/01/16,EUC-K,3,1,0,1729,1926,0
Poland,Portugal,06/30/16,EUC-K,1,1,0,1794,1876,0
Italy,Spain,06/27/16,EUC-K,2,0,0,1874,1968,0
England,Iceland,06/27/16,EUC-K,1,2,0,1931,1691,0
Hungary,Belgium,06/26/16,EUC-K,0,4,0,1723,1901,1
Germany,Slovakia,06/26/16,EUC-K,3,0,0,2019,1751,1
France,Republic of Ireland,06/26/16,EUC-K,2,1,1,1946,1745,1
Wales,Northern Ireland,06/25/16,EUC-K,1,0,0,1709,1637,1
Switzerland,Poland,06/25/16,EUC-K,1,1,0,1779,1795,0
Croatia,Portugal,06/25/16,EUC-K,0,1,0,1853,1851,0
Sweden,Belgium,06/22/16,EUC-G,0,1,0,1727,1887,1
Italy,Republic of Ireland,06/22/16,EUC-G,0,1,0,1912,1707,0
Iceland,Austria,06/22/16,EUC-G,2,1,0,1662,1719,0
Hungary,Portugal,06/22/16,EUC-G,3,3,0,1861,1713,0
Ukraine,Poland,06/21/16,EUC-G,0,1,0,1738,1773,1
Northern Ireland,Germany,06/21/16,EUC-G,0,1,0,2014,1642,1
Czech Republic,Turkey,06/21/16,EUC-G,0,2,0,1727,1759,1
Croatia,Spain,06/21/16,EUC-G,2,1,0,2005,1816,0
Slovakia,England,06/20/16,EUC-G,0,0,0,1944,1764,0
Russia,Wales,06/20/16,EUC-G,0,3,0,1724,1659,0
Romania,Albania,06/19/16,EUC-G,0,1,0,1661,1575,0
France,Switzerland,06/19/16,EUC-G,0,0,1,1964,1761,0
Portugal,Austria,06/18/16,EUC-G,0,0,0,1872,1707,0
Iceland,Hungary,06/18/16,EUC-G,1,1,0,1658,1709,0
Belgium,Republic of Ireland,06/18/16,EUC-G,3,0,0,1858,1726,1
Spain,Turkey,06/17/16,EUC-G,3,0,0,1984,1780,1
Italy,Sweden,06/17/16,EUC-G,1,0,0,1897,1742,1
Czech Republic,Croatia,06/17/16,EUC-G,2,2,0,1734,1823,0
Ukraine,Northern Ireland,06/16/16,EUC-G,0,2,0,1795,1584,0
Germany,Poland,06/16/16,EUC-G,0,0,0,2030,1761,0
England,Wales,06/16/16,EUC-G,2,1,0,1935,1666,1
Russia,Slovakia,06/15/16,EUC-G,1,2,0,1752,1708,0
Romania,Switzerland,06/15/16,EUC-G,1,1,0,1731,1763,0
France,Albania,06/15/16,EUC-G,2,0,1,1960,1579,1
Portugal,Iceland,06/14/16,EUC-G,1,1,0,1887,1643,0
Austria,Hungary,06/14/16,EUC-G,0,2,0,1754,1671,0
Spain,Czech Republic,06/13/16,EUC-G,1,0,0,1974,1730,1
Republic of Ireland,Sweden,06/13/16,EUC-G,1,1,0,1736,1742,0
Belgium,Italy,06/13/16,EUC-G,0,2,0,1900,1855,0
Turkey,Croatia,06/12/16,EUC-G,0,1,0,1803,1797,0
Poland,Northern Ireland,06/12/16,EUC-G,1,0,0,1742,1599,1
Germany,Ukraine,06/12/16,EUC-G,2,0,0,2012,1813,1
Wales,Slovakia,06/11/16,EUC-G,2,1,0,1633,1677,0
England,Russia,06/11/16,EUC-G,1,1,0,1949,1741,0
Albania,Switzerland,06/11/16,EUC-G,0,1,0,1594,1748,1
France,Romania,06/10/16,EUC-G,2,1,1,1953,1738,1
